Player,Number,Position,Height,Weight,Experience,College
Mario Addison,97,DE,75,260,11,Troy
Josh Allen,17,QB,77,237,4,Wyoming
Boogie Basham,96,DE,75,274,0,Wake Forest
Tyler Bass,2,K,70,183,2,Georgia Southern
Ryan Bates,71,G,76,302,3,Penn State
Cole Beasley,11,WR,68,174,10,SMU
Matt Breida,22,RB,70,195,5,Georgia Southern
Spencer Brown,79,OT,80,311,0,Northern Iowa
Vernon Butler,94,DT,76,330,6,Louisiana Tech
Gabriel Davis,13,WR,74,210,2,UCF
Dion Dawkins,73,OT,77,320,5,Temple
Stefon Diggs,14,WR,72,191,7,Maryland
Tyrel Dodson,53,LB,72,237,2,Texas A&M
Tommy Doyle,72,OT,80,320,0,Miami (Ohio)
Tremaine Edmunds,49,MLB,77,250,4,Virginia Tech
A.J. Epenesa,57,DE,78,260,2,Iowa
Jon Feliciano,76,G,76,325,7,Miami
Reid Ferguson,69,LS,74,235,5,LSU
Cody Ford,74,G,75,329,3,Oklahoma
Reggie Gilliam,41,FB,72,244,2,Toledo
Matt Haack,3,P,72,205,5,Arizona State
Damar Hamlin,31,SAF,72,200,0,Pittsburgh
Bobby Hart,68,OT,77,310,7,Florida State
Jerry Hughes,55,DE,74,254,12,TCU
Micah Hyde,23,S,72,197,9,Iowa
Dane Jackson,30,CB,71,180,2,Pittsburgh
Jaquan Johnson,46,FS,70,191,3,Miami
Taron Johnson,24,CB,71,192,4,Weber State
Taiwan Jones,25,RB,72,195,11,Eastern Washington
A.J. Klein,54,OLB,73,240,9,Iowa State
Dawson Knox,88,TE,76,254,3,Mississippi
Jake Kumerow,15,WR,76,209,4,Wisconsin-Whitewater
Cam Lewis,47,CB,69,183,2,Buffalo
Star Lotulelei,98,DT,74,315,8,Utah
Tyler Matakevich,44,ILB,73,235,6,Temple
Isaiah McKenzie,19,WR,68,173,5,Georgia
Matt Milano,58,OLB,72,223,5,Boston College
Mitch Morse,60,C,78,305,7,Missouri
Zack Moss,20,RB,69,205,2,Utah
Siran Neal,33,DB,72,206,4,Jacksonville State
Efe Obada,93,DE,78,265,4,
Ed Oliver,91,DT,73,287,3,Houston
Harrison Phillips,99,DT,75,307,4,Stanford
Jordan Poyer,21,FS,72,191,9,Oregon State
Greg Rousseau,50,DE,78,266,R,Miami
Emmanuel Sanders,1,WR,71,180,12,SMU
Devin Singletary,26,RB,67,203,3,Florida Atlantic
Andre Smith,59,LB,72,240,4,North Carolina
Marquez Stevenson,5,WR,70,180,R,Houston
Tommy Sweeney,89,TE,77,251,3,Boston College
Mitchell Trubisky,10,QB,74,220,5,North Carolina
Levi Wallace,39,CB,72,179,4,Alabama
Daryl Williams,75,OT,78,330,7,Oklahoma
Austin Proehl,,WR,70,175,1,North Carolina
Breeland Speaks,,DE,75,285,3,Mississippi
Eli Ankou,51,NT,75,325,5,UCLA
Brandin Bryant,90,DT,74,305,1,Florida Atlantic
Jacob Capra,,G,77,300,R,San Diego State
Tanner Gentry,87,WR,74,209,1,Wyoming
Joe Giles-Harris,42,LB,74,240,2,Duke
Jamie Gillan,,P,73,207,3,University of Arkansas at Pine Bluff
Olaijah Griffin,37,CB,72,175,R,USC
Tim Harris,,CB,73,205,2,Virginia
Isaiah Hodgins,16,WR,75,201,2,Oregon State
Evin Ksiezarczyk,,OT,78,310,1,Buffalo
Mike Love,56,DE,75,255,2,University of South Florida
Nick McCloud,,CB,73,190,R,Notre Dame
Quintin Morris,85,TE,74,252,R,Bowling Green
Josh Thomas,36,DB,72,205,1,Appalachian State
Davis Webb,7,QB,77,225,3,California
Antonio Williams,,RB,71,215,1,North Carolina
Christian Wade,45,RB,69,196,1,
Ike Boettger,65,G,78,313,4,Iowa
Bryan Cox,51,DE,75,270,4,Florida
Tre'Davious White,27,CB,71,192,5,LSU
Justin Zimmer,61,DT,75,300,3,Ferris State
Jack Anderson,66,G,76,314,R,Texas Tech
Jamil Douglas,77,G,76,310,4,Arizona State
Jake Fromm,4,QB,74,215,2,Georgia
Greg Stroman,,CB,72,182,4,Virginia Tech
Kahale Warring,81,TE,77,252,3,San Diego State
Rachad Wildgoose,32,CB,70,191,R,Wisconsin
