country,elec_acc,inf_mort,gdp_capita
Andorra,100,2.1,42806.52255
Afghanistan,43,66.3,666.7950511
Angola,37,96,5900.52957
Albania,100,12.5,4411.258241
United Arab Emirates,97.69783,5.9,42831.08913
Argentina,99.8,11.1,14443.06565
Armenia,100,12.6,3716.828923
Antigua and Barbuda,90.87544,5.8,13342.085
Australia,100,3,67652.68321
Austria,100,2.9,50557.80381
Azerbaijan,100,27.9,7811.621418
Burundi,6.5,54.1,259.3652082
Belgium,100,3.3,46625.31752
Benin,38.4,64.2,882.6386333
Burkina Faso,13.1,60.9,708.8416819
Bangladesh,59.6,30.7,954.3963997
Bulgaria,100,9.3,7656.638506
Bahrain,97.69783,5.3,24378.94483
"Bahamas, The",100,9.9,22315.60365
Bosnia and Herzegovina,100,5.1,4748.040692
Belarus,100,3.4,7722.123351
Belize,100,14.2,4719.137955
Bolivia,90.5,30.6,2948.032918
Brazil,99.5,14.6,12071.77799
Barbados,90.87544,12,15153.82138
Bhutan,75.56256,27.2,2383.04473
Botswana,53.24,34.8,6882.258373
Central African Republic,10.8,91.5,326.4371085
Canada,100,4.3,52309.43175
Switzerland,100,3.4,84669.29294
Chile,99.6,7,15741.71166
China,100,9.2,6991.853866
Cote d'Ivoire,55.8,66.6,1447.222821
Cameroon,53.7,57.1,1331.200021
"Congo, Rep.",41.6,33.2,3205.457783
Colombia,97,13.6,8027.97816
Comoros,69.3,55.1,796.7645736
Cabo Verde,70.56256,20.7,3623.22243
Costa Rica,99.5,8.5,10461.57682
Cuba,100,4,6789.849597
Cyprus,100,2.5,27910.61983
Czech Republic,100,2.8,19813.87157
Germany,100,3.1,45600.77451
Djibouti,53.26256,54.2,1683.429923
Denmark,100,2.9,59818.63153
Dominican Republic,98,25.7,5968.669476
Algeria,100,21.9,5491.614414
Ecuador,97.2,18.4,6051.611129
"Egypt, Arab Rep.",100,20.3,3264.450063
Euro area,100,3.272240384,38938.40207
Spain,100,3.5,29370.66387
Estonia,100,2.3,19155.42125
Ethiopia,26.56256,41.4,503.9026066
Finland,100,1.9,49492.82806
Fiji,59.32891,19.1,4765.658997
France,100,3.5,42627.65244
"Micronesia, Fed. Sts.",59.32891,28.6,3044.077373
Gabon,89.3,36.1,10658.77273
United Kingdom,100,3.5,42294.89012
Georgia,100,10.6,4274.376857
Ghana,64.06256,42.8,1827.101368
Guinea,26.2,61,521.5389059
"Gambia, The",34.5268,47.9,484.1126877
Guinea-Bissau,60.60672,60.3,538.7338705
Equatorial Guinea,66,68.2,21497.89443
Greece,100,3.6,21842.70331
Grenada,90.87544,10.8,7956.141831
Guatemala,78.5,24.3,3432.022106
Guyana,79.46677,32,3918.40629
Honduras,82.2,17.4,2356.516704
Croatia,100,3.6,13574.97804
Haiti,37.9,52.2,810.3265496
Hungary,100,5.3,13585.43018
Indonesia,96,22.8,3623.53236
India,78.7,37.9,1455.102191
Ireland,100,3,51814.8593
"Iran, Islamic Rep.",100,13.4,6631.29827
Iraq,100,26.5,6882.488684
Iceland,100,1.6,47493.24904
Israel,100,3.2,36281.1999
Italy,100,2.9,35420.87761
Jamaica,92.63344,13.5,5226.216036
Jordan,99.5,15.4,5200.285397
Japan,100,2,38633.70806
Kazakhstan,100,12.6,13611.53736
Kenya,23,35.5,1257.202838
Kyrgyz Republic,100,19,1282.437162
Cambodia,31.1,24.6,1024.60887
Kiribati,59.32891,43.6,1556.525787
St. Kitts and Nevis,90.87544,8.4,14498.63477
Kuwait,97.69783,7.3,48463.15167
Lao PDR,70,50.7,1700.987378
Lebanon,100,7.1,9870.486278
Liberia,9.8,52.8,453.339457
St. Lucia,90.87544,12.7,7319.523755
Sri Lanka,88.66256,8.4,3611.342364
Lesotho,20.56256,69.2,1064.828322
Lithuania,100,3.3,15692.01291
Luxembourg,100,1.5,113726.639
Latvia,100,6.9,15025.80932
Morocco,100,23.7,3156.17515
Moldova,100,13.6,2243.979662
Madagascar,15.4,35.9,462.9739991
Maldives,100,7.4,7100.915779
Mexico,99.1,11.3,10172.72255
Marshall Islands,59.32891,29.6,3602.853944
Middle income,87.4161721,31.2,4582.086447
"Macedonia, FYR",100,4.8,5195.283488
Mali,25.6,74.5,659.5201611
Malta,100,5.1,22776.19469
Myanmar,52.36256,39.5,1106.983824
Montenegro,100,4.3,7186.429787
Mongolia,89.76256,19,4387.707056
Mozambique,20.2,56.7,605.2344447
Mauritania,21.76256,65.1,1306.007652
Mauritius,100,11.8,9479.86959
Malawi,9.8,43.4,239.8697314
Malaysia,100,6,10973.65594
North America,100,5.486029559,52919.06938
Namibia,47.26256,32.8,5435.48932
Niger,14.4,57.1,418.492422
Nigeria,55.6,69.4,2979.834679
Nicaragua,77.9,18.8,1824.988076
Netherlands,100,3.2,51425.07899
Norway,100,2,102832.2587
Nepal,76.3,29.4,692.3363094
New Zealand,100,4.7,42308.18382
Oman,97.69783,9.9,20011.34778
Pakistan,93.6,65.8,1275.363648
Panama,90.87544,14.6,11206.42471
Peru,91.2,13.1,6603.809596
Philippines,87.5,22.2,2786.950468
Papua New Guinea,18.10671,44.5,2108.841038
Poland,100,4.5,13776.45476
Portugal,100,3,21618.73534
Paraguay,98.2,17.5,4497.435166
Qatar,97.69783,6.8,96076.99638
Romania,100,9.7,9587.177764
Russian Federation,100,8.2,14487.27987
Rwanda,18,31.1,678.9981669
Saudi Arabia,97.69783,12.5,24646.02087
Senegal,56.5,41.7,1051.376421
Solomon Islands,22.80671,23.6,1889.991818
Sierra Leone,14.2,87.1,783.0111438
El Salvador,93.7,14.4,3998.739499
Serbia,100,5.9,6353.826383
South Sudan,5.062558,60.3,1157.486958
Sao Tome and Principe,60.46256,34.6,1675.747572
Suriname,100,19,9618.350531
Slovak Republic,100,5.8,18109.50021
Slovenia,100,2.1,23144.12252
Sweden,100,2.4,60283.24522
Swaziland,42,44.5,3648.074903
Seychelles,100,11.7,15695.61461
Chad,6.4,85,985.0952473
Togo,31.46256,52.3,626.1728645
Thailand,100,10.5,6229.172886
Tajikistan,100,38.5,1048.659569
Timor-Leste,41.56256,44.7,1117.731251
Tonga,95.86256,14.4,4117.341436
Trinidad and Tobago,99.8278,18.2,20217.07833
Tunisia,100,12.1,4309.991625
Turkey,100,11.6,10975.07493
Tuvalu,44.56256,22.8,3880.352322
Tanzania,15.3,35.2,910.3792327
Uganda,18.16256,37.7,674.3416307
Ukraine,100,7.7,4029.715504
Uruguay,99.5,8.7,16879.45316
United States,100,5.6,52980.04363
St. Vincent and the Grenadines,75.90575,16.6,6591.56649
Vietnam,99,17.3,1907.564385
Vanuatu,27.07681,23.1,3167.055303
West Bank and Gaza,97.69783,18,2991.53805
Samoa,100,15,4179.597681
South Africa,85.4,33.6,6889.786999
"Congo, Dem. Rep.",16.4,74.5,413.6970577
Zambia,22.06256,43.3,1759.192902
Zimbabwe,40.46256,46.6,905.5003218
