"species","gt","bw","brw"
1,645,6654,5712
2,42,1,6.6
3,60,3.385,44.5
4,25,0.92,5.7
5,624,2547,4603
6,180,10.55,179.5
7,35,0.023,0.3
8,392,160,169
9,63,3.3,25.6
10,230,52.16,440
11,112,0.425,6.4
12,281,465,423
14,365,187.1,419
15,42,0.075,1.2
16,28,3,25
17,42,0.785,3.5
18,120,0.2,5
21,400,529,680
22,148,27.66,115
23,16,0.12,1
24,252,207,406
25,310,85,325
26,63,36.33,119.5
27,28,0.101,4
28,68,1.04,5.5
29,336,521,655
30,100,100,157
31,33,35,56
32,21.5,0.005,0.14
33,50,0.01,0.25
34,267,62,1320
35,30,0.122,3
36,45,1.35,8.1
37,19,0.023,0.4
38,30,0.048,0.33
39,12,1.7,6.3
40,120,3.5,10.8
41,440,250,490
42,140,0.48,15.5
43,170,10,115
44,17,1.62,11.4
45,115,192,180
46,31,2.5,12.1
47,63,4.288,39.2
48,21,0.28,1.9
49,52,4.235,50.4
50,164,6.8,179
51,225,0.75,12.3
52,225,3.6,21
53,150,14.83,98.2
54,151,55.5,175
55,90,1.4,12.5
57,60,0.9,2.6
58,200,2,12.3
59,46,0.104,2.5
60,210,4.19,58
61,14,3.5,3.9
62,38,4.05,17
