Year,mar_avg,jan_avg,feb_avg,Prediction,Actual_warm
1900,29.3,27,24.1,Winter,0
1901,35.1,26.4,18.9,Winter,0
1902,38.8,23.4,21,Spring,1
1903,44.5,24.3,28,Winter,1
1904,34,17.3,19.2,Winter,0
1905,36.9,20.8,18.1,Winter,1
1906,29.1,32.3,25.3,Winter,0
1907,39.5,27,20.1,Winter,1
1908,38.4,25.5,22.1,Winter,1
1909,33.1,28.1,32.9,Winter,0
1910,42.6,24.5,23.8,Winter,1
1911,32.8,29,28.4,Winter,0
1912,31.5,16,21.1,Winter,0
1913,40,33.9,25,Winter,1
1914,31.7,27,18.7,Winter,0
1915,30.3,25.3,30.6,Winter,0
1916,28.2,31.4,22.8,Winter,0
1917,35.4,25.2,23,Winter,0
1918,39.3,13.4,25.7,Winter,1
1919,38.6,29.3,29.6,Winter,1
1920,36.7,18,23,Winter,1
1921,45.4,28,30,Winter,1
1922,37.1,21.8,30.1,Winter,1
1923,34.3,25.8,22.1,Winter,0
1924,33.5,25.1,23.9,Winter,0
1925,38.1,22.2,32.8,Winter,1
1926,30.2,24.7,25.8,Winter,0
1927,39.2,24.4,32,Winter,1
1928,34,26.8,27.2,Winter,0
1929,41,24.1,24.7,Winter,1
1930,35.1,26,32.2,Winter,0
1931,33.7,27,29,Winter,0
1932,30.8,37.5,32.6,Winter,0
1933,33.8,34,28.4,Winter,0
1934,32.1,29.2,15.2,Spring,0
1935,40,24.2,25.8,Winter,1
1936,39.4,20.6,18.3,Winter,1
1937,31.4,33.3,28.5,Winter,0
1938,40.1,26,31.4,Winter,1
1939,35.6,27.3,30.2,Winter,0
1940,29.5,16,26.3,Winter,0
1941,28.9,24.5,23.6,Winter,0
1942,37.8,24.6,23.2,NA,1
1943,34.7,25.3,27.6,NA,0
1944,32.6,28.4,27.5,Winter,0
1945,46.2,18.3,27.1,Winter,1
1946,45.2,27,27.4,Winter,1
1947,30.3,31.5,21.7,Winter,0
1948,38.3,17.9,25.6,Winter,1
1949,36.8,32.9,32.9,Winter,1
1950,30.8,35.8,27.4,Spring,0
1951,36.1,28.4,28.9,Winter,1
1952,34.6,29.7,30.6,Winter,0
1953,37.8,31.4,31.8,Winter,1
1954,35,25,33.6,Winter,0
1955,37.2,24,27.3,Spring,1
1956,32.9,25.1,29.8,Winter,0
1957,36.1,21.9,31.4,Winter,1
1958,33.7,24.5,20.4,Winter,0
1959,34.1,23.4,27,Winter,0
1960,24.5,28.4,28.6,Winter,0
1961,37.1,19.5,28.9,Winter,1
1962,34.2,23.8,25.4,Winter,0
1963,37.5,20.7,18.4,Winter,1
1964,36.9,26.3,23.6,Winter,1
1965,32.1,22.9,26.2,Winter,0
1966,37.5,22.1,26.5,Winter,1
1967,34.4,30.5,22.6,Winter,0
1968,38.4,20.1,22.3,Winter,1
1969,32.7,24.1,26.7,Winter,0
1970,31.6,17.7,25.2,Spring,0
1971,32.5,21.1,27.4,Winter,0
1972,33.1,27.9,23.2,Winter,0
1973,42.8,28.3,25.5,Winter,1
1974,36.9,30.1,26.2,Winter,1
1975,33.7,29.2,28.8,Spring,0
1976,40.8,20.7,33.5,Winter,1
1977,41.2,12.7,26.1,Winter,1
1978,31.9,20.2,17.2,Winter,0
1979,39.4,22.5,16.4,Winter,1
1980,33.3,25.7,23,Winter,0
1981,34,19.2,30.7,Winter,0
1982,34.9,18.2,26.9,Winter,0
1983,38.7,27.2,29.8,Spring,1
1984,29.5,20.9,33.8,Winter,0
1985,38.3,21.2,27.1,Winter,1
1986,38,25.9,26.7,Spring,1
1987,39,24.9,26.8,Winter,1
1988,37.2,21.7,26.8,Spring,1
1989,36.7,30.9,27.1,Winter,1
1990,40.2,34.2,33.9,Spring,1
1991,39.4,26.6,32.4,Winter,1
1992,34.4,28.2,30.9,Winter,0
1993,32.8,30.4,23.5,Winter,0
1994,33.8,17.8,24.1,Winter,0
1995,39.7,29.8,23.9,Spring,1
1996,31.8,23.6,27,Winter,0
1997,37.6,25.1,33,Spring,1
1998,39.6,34.3,35.8,Winter,1
1999,34.2,27,31.7,Spring,0
2000,42.6,25.6,31.6,Winter,1
2001,33.3,26.1,31.5,Winter,0
2002,38.2,33,33.9,Winter,1
2003,37.2,20.6,23.8,Winter,1
2004,39.5,20,27,Winter,1
2005,32.3,26.3,30.1,Winter,0
2006,37,35.2,29.8,Winter,1
2007,37.4,31.3,20.1,Spring,1
2008,35.6,29.2,27.7,Winter,0
2009,38.2,20.5,29.6,Winter,1
2010,42,25.7,25.8,Winter,1
2011,36.3,22.5,28.6,Spring,1
2012,47.7,30,34.3,Winter,1
2013,33.8,29,27.4,Spring,0
2014,30.3,19.6,22.8,Winter,0
2015,31.6,22.5,16.1,Winter,0
2016,43.3,25.4,30.7,Spring,1
2017,35.3,31.8,36.6,Winter,0
2018,33,23.1,34.3,Winter,0
2019,34.7,25.8,30.2,Spring,0
2020,42.5,32.2,33.3,Spring,1
2021,40.9,29.4,26.6,Winter,1
2022,39.4,22.5,29.8,Winter,1
