"year","prec","temp","snow","nino"
1920,167.86,-1.68333333333333,487.7,0.828333333333333
1921,225.86,-1.31666666666667,640.1,-0.773333333333333
1923,170.96,-2.65,487.7,-0.225
1924,142.84,-3.1,457.2,0.708333333333333
1926,149.76,1.71666666666667,315,1.23
1927,175.73,-1.71666666666667,525.8,-0.16
1928,201.99,-1.15,469.9,0.09
1929,129.37,-1.43333333333333,604.5,-0.0416666666666667
1930,132.87,-1.76666666666667,281.9,0.618333333333333
1931,151.24,-0.25,411.5,1.47166666666667
1933,166.48,-3.56666666666667,558.8,-0.276666666666667
1934,156.23,1.83333333333333,228.6,-0.946666666666667
1935,174.2,-1.81666666666667,520.7,-0.203333333333333
1936,169.65,-0.45,569,0.141666666666667
1937,158,-2.36666666666667,518.2,0.0783333333333333
1939,166.18,-1.68333333333333,442,-0.806666666666667
1941,122.73,0.9,205.7,1.76833333333333
1942,147.87,-1,274.3,1.04833333333333
1943,203.44,-1.01666666666667,513.1,-1.32666666666667
1947,187.31,-0.716666666666667,505.5,0.08
1951,199.42,-2.28333333333333,485.1,-0.516666666666667
1955,156.38,-2.1,617.2,-0.47
1956,172.97,-2.88333333333333,833.1,-0.956666666666667
1957,187.66,-1,464.8,-0.156666666666667
1958,200.19,-0.383333333333333,500.4,1.185
1959,266.92,-1.66666666666667,487.7,0.363333333333333
1960,226.06,-1.2,421.6,-0.0333333333333333
1961,280.33,-0.6,528.3,-0.00333333333333334
1962,191.64,-1.73333333333333,403.9,-0.251666666666667
1963,205.13,-0.566666666666667,335.3,-0.263333333333333
1964,205.41,-1.71666666666667,569,0.486666666666667
1965,232.33,-1.71666666666667,454.7,-0.603333333333333
1966,167.81,-1.56666666666667,396.2,1.21166666666667
1967,223.93,-2.01666666666667,673.1,-0.296666666666667
1968,207.17,-0.966666666666667,360.7,-0.591666666666667
1969,180.24,-3.25,490.2,0.801666666666667
1970,113.19,-1.4,444.5,0.79
1971,245.89,-2.81666666666667,688.3,-1.27333333333333
1972,326.28,-3.11666666666667,774.7,-0.42
1973,165.8,-2.31666666666667,337.8,1.35
1974,340.68,-2.86666666666667,744.2,-1.735
1975,275.22,-3.11666666666667,594.4,-0.59
1976,284.93,-2.21666666666667,607.1,-1.175
1977,144.7,0.3,320,0.511666666666667
1978,246.96,-1.6,416.6,0.556666666666667
1979,200.77,-3.48333333333333,431.8,0.136666666666667
1980,225.66,-1.2,454.7,0.393333333333333
1981,237.21,-0.333333333333333,386.1,-0.163333333333333
1982,233.35,-3.18333333333333,650.2,-0.0916666666666667
1983,205.44,-1.33333333333333,487.7,2.15666666666667
1984,257.12,-2.43333333333333,530.9,-0.676666666666667
1985,181.26,-2.15,482.6,-1.16166666666667
1986,181.92,-1.7,368.3,-0.565
1987,190.2,-0.366666666666667,388.6,1.18666666666667
1989,231.19,-2.73333333333333,548.6,-1.74333333333333
1990,211.56,-0.3,401.3,0.015
1991,282.43,-1.86666666666667,563.9,0.215
1992,220.34,0.633333333333333,330.2,1.62166666666667
1993,189.81,-3.01666666666667,383.5,0.273333333333333
1995,245.55,-1.65,500.4,0.798333333333333
1998,174.67,-0.883333333333333,436.9,2.04333333333333
1999,279.35,-2.81666666666667,718.8,-1.35666666666667
2000,249.86,-0.716666666666667,475,-1.42666666666667
2001,138.79,-1.81666666666667,335.3,-0.655
2002,260.71,-2.25,553.7,-0.03
2004,172.47,-0.883333333333333,431.8,0.161666666666667
2005,164.63,0.116666666666667,241.3,0.465
2006,233.21,-1.76666666666667,520.7,-0.566666666666667
2007,267.81,-0.583333333333333,386.1,0.501666666666667
2008,158.76,-1.81666666666667,617.2,-1.50666666666667
2009,175.11,-0.0833333333333333,530.9,-0.618333333333333
2010,134.35,-0.433333333333333,462.3,1.275
2011,220.55,-2.9,642.6,-1.30833333333333
2012,206.86,-1.86666666666667,591.8,-0.805
2013,142.06,-1.63333333333333,523.2,-0.146666666666667
